,Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
1730,2016-07-01,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,mastercard,Private Equity,2000000.0,https://razorpay.com/
1731,2016-06-30,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bangalore,aarin capital,Seed Funding,220000.0,
1732,2016-06-30,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,brand capital,Private Equity,25000000.0,https://www.merucabs.com/
1733,2016-06-30,Biryani Blues,Food & Beverages,QSR Chain,Gurgaon,carpediem capital & others,Private Equity,368000.0,http://biryaniblues.com/
1734,2016-06-30,Scripbox,Consumer Internet,Online Mutual Fund Investment platform,Bangalore,"omidyar network, accel partners & existing investors",Private Equity,2000000.0,https://scripbox.com/
1735,2016-06-29,Velvetcase,Ecommerce,Online designer jewellery marketplace,Mumbai,"uniqorn ventures fund, tv mohandas pai, s somasegar",Private Equity,1500000.0,http://www.velvetcase.com/
1736,2016-06-29,ImpactGuru,Consumer Internet,Crowdfunding Platform,Mumbai,piyush jain,Seed Funding,2000000.0,https://www.impactguru.com/
1737,2016-06-29,TrendieApp,IT,Visual Content Marketing,Kolkata,harsh vardhan hada,Seed Funding,50000.0,
1738,2016-06-29,LetReach,Ecommerce,ECommerce SAAS Solutions,New Delhi,vcommission,Private Equity,100000.0,https://letreach.com/
1739,2016-06-28,FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurgaon,"accel partners, rb investments",Private Equity,8000000.0,https://www.fabhotels.com/
1742,2016-06-28,MySuperBrain,Consumer Internet,Online Talent Discovery Platform for Kids,Hyderabad,soniks consulting,Seed Funding,2000000.0,
1743,2016-06-28,Hello Tax,Consumer Internet,Online Tax Filing Platform,New Delhi,sanjeev sinha,Seed Funding,295000.0,
1744,2016-06-28,LendingKart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"bertelsmann india investments, mayfield india, saama capital, india quotient",Private Equity,32000000.0,http://lendingkart.com/
1745,2016-06-27,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,gvfl ltd,Private Equity,3000000.0,http://www.travelyaari.com/
1746,2016-06-27,Voler Cars,Consumer Internet,Self-Driven Car rental platform,New Delhi,"kanodia family, amit banka",Seed Funding,2000000.0,http://volercars.com/
1748,2016-06-27,YourDost,Consumer Internet,Online counselling & Personal coaching platform,Bangalore,"saif partners, aprameya radhakrishnan, phanindra sama, subba rao telidevara, vibhu garg, paula ravindra mariwala, gaurav bhalotia",Seed Funding,1200000.0,https://yourdost.com/
1749,2016-06-24,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"jitendra gupta, pankaj tripathi",Seed Funding,50000.0,http://www.drivify.in/
1751,2016-06-24,LEAP India,Others,Supply Chain Equipment & Services provider,Mumbai,mayfield ventures,Private Equity,3000000.0,http://www.leap-india.com/
1752,2016-06-24,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,gvfl,Private Equity,6000000.0,http://www.schedulers.in/
1753,2016-06-24,ParaBlu,IT,Cloud Data Security & Privacy Solutions,Bangalore,kalaari capital,Seed Funding,500000.0,https://www.parablu.com/
1754,2016-06-24,PratiLipi,Consumer Internet,Multi-Lingual self-publishing platform,Bangalore,nexus venture partners,Seed Funding,2000000.0,http://www.pratilipi.com/
1755,2016-06-23,FarEye,IT,Logistics Management Software,New Delhi,saif partners,Private Equity,3500000.0,http://www.getfareye.com/in/
1756,2016-06-23,Padhopadhao,Consumer Internet,Home Tutors search & Discovery,New Delhi,rise india,Private Equity,2000000.0,http://www.padhopadhao.com/
1757,2016-06-23,The Uolo,Consumer Internet,School Parent Communication App,Bangalore,"purvi ventures, rajul garg, vipin arora",Seed Funding,210000.0,http://www.theuolo.com/
1758,2016-06-23,Staqu,IT,Artificial Intelligence based search platform,Gurgaon,indian angel network,Seed Funding,2000000.0,http://www.staqu.com/
1759,2016-06-22,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,"rahul kirloskar, fusion tech ventures, adi saravanan, pravin dongre, mahendra doshi",Seed Funding,150000.0,
1760,2016-06-21,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,swan angel network,Seed Funding,150000.0,
1761,2016-06-21,REstate,Consumer Internet,Real Estate Platform,Bangalore,idein ventures,Seed Funding,2000000.0,
1762,2016-06-21,PrettySecrets,Ecommerce,Women Lingerie Store,Mumbai,"rb investments pte ltd, orios venture partners",Private Equity,6000000.0,http://prettysecrets.com/
1763,2016-06-21,Syona Cosmetics,Food & Beverages,Beauty Products & Training to Salons & Spas,Chennai,the chennai angels,Seed Funding,150000.0,http://www.syonacosmetics.com/
1764,2016-06-21,Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,"concur technologies, gund investment",Private Equity,2000000.0,http://www.cleartrip.com/
1765,2016-06-21,NatureNama,Consumer Internet,Online Outdoors & travel,Mumbai,unicorn venture,Seed Funding,225000.0,http://naturenama.com/
1766,2016-06-21,CyclopsMedtech,IT,Medical Technology Provider,Bangalore,cp bothra,Seed Funding,2000000.0,http://www.cyclopsmedtech.com/
1767,2016-06-21,ProcMart,Consumer Internet,Online Procurement Marketplace,Noida,indiamart,Private Equity,2000000.0,http://www.procmart.com/
1768,2016-06-21,Celerix,IT,Fintech Product Development & Services Startup,Bangalore,bitkemy ventures,Seed Funding,400000.0,
1770,2016-06-20,Qonfuse,Consumer Internet,Online Test Papers for competitive exams,New Delhi,hamraj kumar,Seed Funding,2000000.0,
1771,2016-06-20,The Indian IRIS,Consumer Internet,Govt Policy Research & Information portal,Ahmedabad,timbru ventures,Seed Funding,2000000.0,http://theindianiris.com/
1772,2016-06-17,BYG,Consumer Internet,Fitness centre Discovery & Booking Mobile app,Bangalore,"sanjay verma, amit khanna (letsventure)",Seed Funding,2000000.0,http://www.byg.co.in/
1773,2016-06-17,Duffl,Ecommerce,Fashion Rental Marketplace,Bangalore,betonindia technology pvt ltd,Seed Funding,2000000.0,
1774,2016-06-17,GreytHR,IT,Payroll & HR Software Developer,Bangalore,"new enterprise associates (nea), blume ventures",Private Equity,5200000.0,https://www.greythr.com/
1775,2016-06-17,Silvan Innovation Labs,IT,Home Automation Solutions,Bangalore,infuse ventures,Private Equity,900000.0,http://silvan.co.in/
1776,2016-06-17,Cleartax,Consumer Internet,Online Tax Filing Platform,New Delhi,"ravi adusumalli, saif partners",Private Equity,12000000.0,https://cleartax.in/
1777,2016-06-16,Saavn,Consumer Internet,Web/Mobile Music Streaming service,USA,guy oseary,Private Equity,2000000.0,http://www.saavn.com
1778,2016-06-16,Diro Labs,Consumer Internet,Contact Management Mobile App,New Delhi,info edge (india) ltd,Private Equity,450000.0,http://dirolabs.com/
1779,2016-06-16,Athletto,Consumer Internet,Sports Venue discovery and booking platform,Bangalore,atul ingle,Seed Funding,2000000.0,https://athletto.com/
1780,2016-06-16,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurgaon,info edge (india) ltd,Private Equity,600000.0,
1781,2016-06-16,Voonik,Ecommerce,Online Women’s Fashion Marketplace,Bangalore,sequoia capital,Private Equity,20000000.0,http://www.voonik.com/
1782,2016-06-16,ThinkPhi,IT,Sustainable Green Tech Solution developer,Mumbai,nimmagadda prasad,Seed Funding,2000000.0,http://www.thinkphi.com/
1783,2016-06-15,Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,indian angel network,Seed Funding,450000.0,http://oneway.cab/
1784,2016-06-15,GrabOnRent,Ecommerce,On-demand product rental marketplace,Bangalore,ivycap ventures and unicorn india ventures,Private Equity,2000000.0,https://www.grabonrent.com/
1785,2016-06-14,EdTechReview,Consumer Internet,Education based online portal,New Delhi,evc ventures,Seed Funding,2000000.0,http://edtechreview.in/
1786,2016-06-14,Gobolt,Logistics,B2B Logistics provider,New Delhi,mcube8,Seed Funding,2000000.0,
1787,2016-06-14,Jivox,IT,Data Driven Advertising platform,Bangalore,"you & mr jones, fortisure ventures, diaz nesamoney",Private Equity,6000000.0,http://jivox.com/
1788,2016-06-14,Bonhomia,Food & Beverages,Premium Tea & Coffee Capsules maker,New Delhi,valpro capital and existing investors,Private Equity,2000000.0,http://boho.bonhomiaworld.com/
1789,2016-06-14,Sminq,Consumer Internet,Queue management Mobile app,Pune,"saama capital, blume ventures & vaibhav domkundwar",Seed Funding,1000000.0,http://sminq.com/
1790,2016-06-14,CureJoy,Consumer Internet,Online Alternative health community platform,Bangalore,accel partners india,Private Equity,4400000.0,http://www.curejoy.com/
1791,2016-06-13,KhanaGadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50k ventures,Seed Funding,2000000.0,
1793,2016-06-13,Matrubharti,Consumer Internet,e-Book Publisher,Bangalore,viridian capital,Seed Funding,30000.0,https://play.google.com/store/apps/details?id=com.nichetech.matrubharti&hl=en
1794,2016-06-11,Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,tvs automobile solutions ltd,Private Equity,2000000.0,
1795,2016-06-11,AutoSense,IT,Data Analytics based Customer Management Services,New Delhi,tvs automobile solutions ltd,Private Equity,2000000.0,
1796,2016-06-11,Jazzmyride,Ecommerce,Auto Parts & Accessories eTailer,New Delhi,tvs automobile solutions ltd,Private Equity,2000000.0,
1797,2016-06-10,MadRat Games,IT,Wearable Gaming Platform,Bangalore,"ratan tata, bhavish aggarwal, ankit bhati, binny bansal, girish mathrubootham",Seed Funding,2000000.0,
1798,2016-06-10,Freshee,Food & Beverages,Household packaging & Storage product manufacturer,Mumbai,edelweiss private equity,Private Equity,2000000.0,
1799,2016-06-10,Kickstart Jobs,IT,Entry level hiring platform,Gurgaon,"vivek joshi, mohit satyanand, amit banati, arun khanna",Seed Funding,2000000.0,
1800,2016-06-10,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"cio angel network, indian angel network",Private Equity,500000.0,https://www.paytunes.in/paytunes/front
1801,2016-06-10,Kyazoonga,Ecommerce,Online event ticketing Platform,Mumbai,ratan tata,Seed Funding,2000000.0,http://www.kyazoonga.com/
1802,2016-06-09,Teabox,Ecommerce,Online Tea Store,Siliguri,cameron jones,Seed Funding,2000000.0,https://www.teabox.com/
1803,2016-06-09,EPayLater,IT,Fin-Tech Platform,Mumbai,3 undisclosed hnis,Seed Funding,2000000.0,http://www.epaylater.in/
1804,2016-06-09,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,"ritesh dwivedy, priti padhy",Seed Funding,2000000.0,https://www.extraaedge.com/
1805,2016-06-08,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bangalore,"kunal shah, aneesh reddy, tracxn labs, venkat tadanki, krishna mehra, amit rathore",Seed Funding,2000000.0,https://cookifi.com/
1806,2016-06-08,6Degree,IT,Tech-enabled Fashion Talent platform,Mumbai,indian angel network,Seed Funding,200000.0,http://6degree.co/
1807,2016-06-08,StoreKing,Ecommerce,Connecting Small Town Consumers to E-Commerce,Bangalore,axiata digital,Private Equity,16000000.0,http://storeking.in/
1808,2016-06-08,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurgaon,blackjag partners,Seed Funding,200000.0,http://myseniordoctor.com/
1809,2016-06-08,ListUp,Ecommerce,Location based Classified Mobile app,Mumbai,"kae capital, kunal shah, sandeep tandon",Seed Funding,500000.0,
1810,2016-06-08,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,sarath sura,Seed Funding,1000000.0,http://www.greycampus.com/
1811,2016-06-08,Wired Hub,Real Estate,Co-Working Spaces,Jaipur,"ankit maheshwari, anand singh",Seed Funding,2000000.0,http://wiredhub.in/
1812,2016-06-08,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,sanjiv rai,Seed Funding,2000000.0,
1813,2016-06-07,CreditVidya,IT,Credit Scoring Platform,Mumbai,kalaari capital,Private Equity,1000000.0,http://www.creditvidya.com/
1814,2016-06-07,HelpShift,IT,Mobile CRM Platform,Pune,"microsoft ventures, salesforce ventures",Private Equity,23000000.0,https://www.helpshift.com/
1816,2016-06-07,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bangalore,"yeahmobi, fenqile",Private Equity,2000000.0,http://www.KrazyBee.com
1817,2016-06-07,CueMath,Edtech,K-12 Maths Learning Courses,Bangalore,"sequoia capital, unitus seed fund",Private Equity,4000000.0,http://www.cuemath.com/
1818,2016-06-06,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,sreenivasa reddy musani,Seed Funding,448000.0,
1819,2016-06-03,iCliniq,Consumer Internet,Doctor Consultation platform,Bangalore,madhankumar madathupalayam,Seed Funding,2000000.0,https://www.icliniq.com/
1821,2016-06-03,Vyome Biosciences,HealthTech,Treatment Development for Antibiotic-resistant diseases,New Delhi,romulus capital,Private Equity,2000000.0,http://www.vyome.in/
1822,2016-06-02,Coutloot,Ecommerce,Fashion Re-Commerce Platform,Mumbai,venture catalysts,Seed Funding,2000000.0,
1823,2016-06-02,Droom,Ecommerce,Online marketplace for used automobiles,New Delhi,"beenext, digital garage, lightbox, beenos",Private Equity,2000000.0,http://droom.in/
1824,2016-06-02,Atomberg,IT,"smart, energy efficient home appliance manufacturer",Mumbai,parampara capital,Private Equity,1000000.0,http://atomberg.com/
1825,2016-06-02,Visit,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,mapmyindia,Seed Funding,2000000.0,https://getvisitapp.com/#1
1826,2016-06-02,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,rainmaker ventures,Private Equity,1000000.0,https://www.limoapp.in/
1827,2016-06-01,BRIDGEi2I,IT,Data Analytics Platform,Bangalore,edelweiss private equity,Private Equity,2000000.0,http://www.bridgei2i.com/
1829,2016-05-31,CCavenue,Consumer Internet,Payment Gateway,Mumbai,nsi infinium global pvt. ltd,Private Equity,8900000.0,http://www.CCavenue.com
1831,2016-05-31,Tpot,Food & Beverages,QSR Chain,Gurgaon,ashish gupta,Seed Funding,2000000.0,http://www.tpot.in/
1832,2016-05-31,Koovs,Ecommerce,Apparel & Lifestyle eTailer,New Delhi,ht media ltd,Private Equity,4400000.0,http://www.koovs.com
1833,2016-05-31,1mg,Ecommerce,Online Pharmacy,Gurgaon,hbm healthcare investments,Private Equity,2000000.0,https://www.1mg.com/
1834,2016-05-31,Play Your Sport,Consumer Internet,Location based Sports & Fitness Discovery App,New Delhi,ashish gupta and other undisclosed investors,Seed Funding,2000000.0,
1835,2016-05-30,Vahanalytics,IT,Safe driving Analytics platform,Mumbai,"anirudh damani, vikram lakhotia",Seed Funding,200000.0,
1836,2016-05-27,Pianta,Consumer Internet,Online healthcare service discovery platform,Bangalore,"kunal shah, sandeep tandon",Seed Funding,2000000.0,
1837,2016-05-26,mChamp,Consumer Internet,Celebrity Entertainment Contest App,New Delhi,momagic technologies,Seed Funding,475000.0,http://m.mchamp.in/
1838,2016-05-26,Consure Medical,HealthTech,Medical Devices Kit manufacturer,New Delhi,"accel partners, indian angel network, india innovation fund india venture partners",Private Equity,2000000.0,http://consuremedical.com/
1839,2016-05-26,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"ff angel, sequoia capital",Private Equity,2000000.0,https://cleartax.in/
1840,2016-05-25,Arcatron Mobility,IT,Mobility Devices for differently abled,Pune,sudhir mehta,Seed Funding,100000.0,http://arcatron.com/
1841,2016-05-25,Address Health,HealthTech,Pediatric Primary Healthcare Network,Bangalore,gray matters capital,Private Equity,1500000.0,http://www.addresshealth.in/web/index.php/home
1842,2016-05-25,SheThePeople,Consumer Internet,Digital platform for Women,New Delhi,anand mahindra,Seed Funding,2000000.0,http://shethepeople.tv/
1843,2016-05-25,Roast,Consumer Internet,Mobile entertainment App,New Delhi,indian angel network,Seed Funding,2000000.0,
1844,2016-05-24,Eatonomist,Consumer Internet,Food Delivery Platform,Gurgaon,mcube capital advisors pvt ltd,Seed Funding,2000000.0,
1845,2016-05-24,Goalwise,Consumer Internet,Online investment platform,Bangalore,undisclosed hnis,Seed Funding,1000000.0,https://www.goalwise.com/
1846,2016-05-23,EduRev,Consumer Internet,Online Learning Platform,Gurgaon,pradeep reddy kamasan,Seed Funding,2000000.0,https://edurev.in/
1847,2016-05-23,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vcommission,Seed Funding,89000.0,https://www.hoppingo.com/
1849,2016-05-19,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"chatsworth management, itw digital",Seed Funding,500000.0,https://twitter.com/veqta_sports
1850,2016-05-19,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,undisclosed hnis,Seed Funding,500000.0,http://taxivaxi.com/
1851,2016-05-19,Niki.ai,IT,Artificial Intelligence Platform,Bangalore,ratan tata,Private Equity,2000000.0,http://Niki.ai
1853,2016-05-18,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,katabole technology venture,Seed Funding,100000.0,http://www.PurpleHealth.com
1854,2016-05-18,EduPristine,Edtech,Online Certification Courses,Mumbai,"kaizen management advisors, devry inc",Private Equity,10000000.0,http://www.edupristine.com/
1855,2016-05-18,Fundamentor,Edtech,Aptitude Development Program,Pune,subramanya sv,Seed Funding,2000000.0,http://www.fundamentor.com/
1856,2016-05-18,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,yournest angel fund,Seed Funding,250000.0,https://www.thesmartq.com/
1857,2016-05-18,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"sujeet kumar, aprameya, sumit jain, subramanya venkat, venk, ravi machani, hitesh gupta, rohit choudhary",Seed Funding,2000000.0,https://mailtrack.io/trace/link/a7e84ed6c24cc7c76ee9e877852bfea0f6e6c536?url=http%3A%2F%2Fgm.ag%2Fx%2Fc%3Fc%3D214075%26l%3Dc6eeb22a-d72c-43e3-a708-b7c040fe3691%26r%3Da4754f51-c80c-4416-8fe4-df48afe7641d&signature=16964fa3e876145f
1858,2016-05-18,BhiveWorkspace,Real Estate,Co-Working Spaces,Bangalore,blume ventures,Private Equity,1000000.0,http://bhiveworkspace.com/
1859,2016-05-17,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"undisclosed investors, accel partners, helion venture partners",Private Equity,2000000.0,https://crownit.in/
1860,2016-05-17,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,rata tata,Private Equity,2000000.0,http://murgency.com/
1861,2016-05-17,Blinge,Ecommerce,Apparel Rental platform,Mumbai,"anupam mittal, anuj srivastava, ankit nagori",Seed Funding,2000000.0,
1862,2016-05-16,BedBathMore,Consumer Internet,Home Decor eMarketplace,Mumbai,"kinnevik group, rocket internet",Private Equity,2000000.0,
1863,2016-05-16,Smartivity,Ecommerce,Smart Learning products,Delhi,"s chand, advantedge partners",Private Equity,1000000.0,http://www.smartivity.in/
1864,2016-05-13,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"matrix partners, nexus ventures",Private Equity,13500000.0,
1865,2016-05-13,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,undisclosed investors & tamarind family private trust,Private Equity,2200000.0,http://www.wowexpress.in/
1866,2016-05-12,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"rakesh gupta, aditya aggarwal, siddharth banerjee, vikas ranjan, anshul jindal, sunil koul, and sanjeev agrawal",Seed Funding,2000000.0,https://www.dreamwallets.com/
1867,2016-05-12,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"blume ventures, rajan anandan, sumit jain, aprameya radhakrishna, sujeet kumar, phanindra sama",Seed Funding,500000.0,https://unacademy.in/
1868,2016-05-12,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"creation investments capital management, saif partners, sequoia capital, aspada ventures",Private Equity,25000000.0,http://www.capitalfloat.com/
1869,2016-05-12,Life Circle,HealthTech,Senior Healthcare Services,Hyderabad,groupe sos,Private Equity,150000.0,https://www.lifecircle.in/
1870,2016-05-12,ShabdNagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! ventures,Seed Funding,2000000.0,http://www.shabdanagari.in/
1871,2016-05-12,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"phanindra sama, raghunandan g,",Seed Funding,2000000.0,https://galleri5.com/
1872,2016-05-12,Derbii,Logistics,Carpooling Services,Gurgaon,anurag chauhan,Seed Funding,2000000.0,https://derbii.com/
1873,2016-05-11,Fractal Analytics,IT,Data Analytics Company,Mumbai,khazanah nasional berhad,Private Equity,100000000.0,http://www.fractalanalytics.com/
1874,2016-05-11,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"jm financial products ltd, arun tadanki, doreswamy nandkishore, kshitij jain",Private Equity,2000000.0,http://Faircent.com
1876,2016-05-10,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,"idg ventures india, inventus capital, blume ventures",Private Equity,6000000.0,http://healthifyme.com/
1877,2016-05-10,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"accel partners, matrix partners, girish mathrubootham",Private Equity,1500000.0,
1878,2016-05-10,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"norwest venture partners, dst global, accel partners",Private Equity,7000000.0,https://www.swiggy.com
1880,2016-05-10,InnoNano Research,IT,Clean Water Technology,Chennai,nanoholdings,Private Equity,18000000.0,
1881,2016-05-09,Rentickle,Ecommerce,"Furniture, appliances Portal",New Delhi,"manish kheterpal, vinay mittal, dinesh mittal, sandeep gupta",Seed Funding,250000.0,https://www.rentickle.com/
1882,2016-05-09,Locus,IT,Logistics Intelligence platform,Bangalore,"exfinity venture partners, blume ventures, beenext, rajesh ranavat",Private Equity,2750000.0,
1883,2016-05-09,Toko Innovations,Consumer Internet,Children’s Entertainment Portal,Bangalore,"roopak saluja, vishal khare",Seed Funding,450000.0,http://tokoinnovationstudios.com/
1885,2016-05-06,Meesho,Ecommerce,Social commerce platform,Bangalore,rajul garg & others,Seed Funding,2000000.0,http://www.meesho.com/
1886,2016-05-06,EduAce Services,Edtech,Education Workshops & mentoring programs,Lucknow,momagic technologies,Private Equity,1000000.0,http://www.eduace.in/
1887,2016-05-05,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bangalore,group of undisclosed angel investors & hnis,Seed Funding,375000.0,http://www.weballigator.com/weballigator/indexweb.aspx
1888,2016-05-05,Unbxd,IT,eCommerce product discovery software,New Delhi,"idg ventures, inventus capital, indian angel network",Private Equity,2000000.0,http://unbxd.com
1890,2016-05-04,Lenskart,Ecommerce,Eyewear & Accessories etailer,New Delhi,"international finance corp, tpg growth, adveq management, idg ventures, ratan tata, kris gopalakrishnan",Private Equity,60000000.0,http://www.Lenskart.com
1891,2016-05-04,Seclore,IT,Enterprise Security Technology platform,Mumbai,"sistema asia fund, helion venture, ventureeast, india alternatives",Private Equity,12000000.0,http://www.seclore.com/
1892,2016-05-04,Comarete,IT,Telecom & Media IT services company,Pune,grex.in,Seed Funding,200000.0,http://www.comarete.com/
1893,2016-05-04,SolarTown,IT,Solar Rooftop system installation company,Chennai,grex.in,Seed Funding,200000.0,http://solartown.in/
1894,2016-05-04,Affordplan,IT,Affordable non-emergency medical service health plans,New Delhi,kalaari capital accelerator program,Seed Funding,500000.0,
1895,2016-05-04,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,kalaari capital accelerator program,Seed Funding,500000.0,https://www.indee.tv/
1896,2016-05-04,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"rohan angrish, hrishi oberoi, rahul mehta, kapil hetamsaria, pranav dedhia",Seed Funding,200000.0,
1897,2016-05-04,Active.ai,IT,Intelligent Tech platform for Finance vertical,Singapore,kalaari capital accelerator program,Seed Funding,500000.0,http://active.ai/
1898,2016-05-03,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"gmo payment gateway, mediatek",Private Equity,50000000.0,http://www.mobikwik.com
1901,2016-05-03,iDreamCareer,Consumer Internet,Career Planning Services Portal,New Delhi,brand capital,Private Equity,2000000.0,
1902,2016-05-03,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"shruth & smith group, hermes group",Seed Funding,180000.0,
1903,2016-05-03,Prepathon,Edtech,Competitive Exam learning platform,Mumbai,blume ventures,Private Equity,2000000.0,http://www.prepathon.com/
1904,2016-05-02,Airwood,IT,Agri Data & Analytics Platform,Chennai,startupxseed ventures,Seed Funding,2000000.0,http://www.airwood.in/
1905,2016-05-01,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,ankush mehta,Seed Funding,145000.0,http://www.thingsmeet.com/
1906,2016-05-01,Get My Parking,IT,Parking Technology Platform,New Delhi,the chennai angels,Seed Funding,376000.0,http://www.getmyparking.com/
1907,2016-05-01,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"niloufer dundh, fauzan rahim, balamurugan mani,",Seed Funding,2000000.0,http://www.motomojo.in/
1908,2016-04-29,Impact Guru,Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,Mumbai,"rb investments, fundnel",Seed Funding,500000.0,https://www.impactguru.com/
1909,2016-04-29,LetReach,Ecommerce,ECommerce SAAS Solutions,New Delhi,vcommission,Private Equity,100000.0,https://letreach.com
1910,2016-04-28,The Wedding Brigade,Consumer Internet,Online Wedding Information Portal,Mumbai,blume ventures & other unnamed investors,Seed Funding,600000.0,http://theweddingbrigade.com/
1911,2016-04-28,DocsApp,Consumer Internet,Online Doctor Discovery & Chat platform,Bangalore,"rebright partners, anand rajaraman, venky harinarayan",Private Equity,1200000.0,https://www.docsapp.in/
1912,2016-04-27,MilkBasket,Consumer Internet,Micro Grocery Delivery Platform,Gurgaon,evc ventures,Seed Funding,500000.0,http://milkbasket.com/
1913,2016-04-27,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,axilor ventures,Private Equity,2000000.0,http://murgency.com/
1915,2016-04-27,RailYatri,Consumer Internet,Train Related Information portal,Noida,"nandan nilekani, helion ventures, omidyar networks, blume ventures",Private Equity,2000000.0,http://www.railyatri.in/
1916,2016-04-27,CareonGO,Consumer Internet,Online Pharmacy,Bangalore,"farooq oomerbhoy, anupam mittal, anand mittal, ravi garikipati, vibhu garg, singapore angel network, konglo ventures",Seed Funding,2000000.0,http://www.careongo.com/
1917,2016-04-26,Transerv,Consumer Internet,Digital Payments platform,Mumbai,"idfc spice fund, micromax informatics",Private Equity,15000000.0,http://transerv.co.in/
1918,2016-04-26,Roposo,Ecommerce,Social Fashion ECommerce Discovery platform,Gurgaon,bertelsmann india investments,Private Equity,15000000.0,http://www.Roposo.com
1919,2016-04-26,ClearTax,Consumer Internet,Online filing of Tax returns,Bangalore,"max levchin, scott banister",Private Equity,1300000.0,https://cleartax.in/
1920,2016-04-25,intouchapp,Consumer Internet,Contact Management Mobile App,Pune,blume ventures,Seed Funding,2000000.0,http://www.intouchapp.com/
1921,2016-04-25,Commut,Consumer Internet,Shuttle Service Provider,Hyderabad,50k ventures,Seed Funding,200000.0,https://commut.co/
1922,2016-04-25,Dropkaffe,Food & Beverages,Ready-to-Drink Beverage Producer,Bangalore,"growthstory, apurva salapuria, hitesh oberoi, sidharth pansari, nirupa shankar",Seed Funding,550000.0,http://www.dropkaffe.com/
1923,2016-04-22,Licious,Ecommerce,Mobile based Meat ordering App,Bangalore,mayfield india ii management ltd,Private Equity,3000000.0,http://www.licious.in/
1924,2016-04-22,TOKO Innovation Studios,Consumer Internet,Children’s Entertainment Games & Products,New Delhi,indian angel network,Seed Funding,450000.0,http://tokoinnovationstudios.com/
1925,2016-04-22,Knolskae,Consumer Internet,Educational Gamification & Simulation platform,Bangalore,"inventus capital partners, hr fund",Private Equity,2000000.0,https://www.knolskape.com/
1926,2016-04-22,Druva,IT,Converged Backup & Data Protection Solutions for Enterprises,Pune,"ntt finance, telephone corporation",Private Equity,2000000.0,http://www.druva.com/
